0	1	1	1	2	2	2
GeneID	infected	infected	infected	control	control	control
XLOC_000072	321	214	384	365	299	280
XLOC_000073	326	275	302	292	211	269
XLOC_000074	289	208	298	299	289	290
XLOC_000075	109	90	112	123	110	104
XLOC_000076	25	21	22	28	18	15
XLOC_000077	8	3	6	6	4	1
XLOC_000078	160	98	159	163	118	130
XLOC_000079	213	163	214	335	259	230
XLOC_000080	17	7	23	25	18	24
XLOC_000081	429	388	435	430	276	307
XLOC_000082	18	17	21	16	18	21
XLOC_000083	290	307	367	335	314	251
XLOC_000084	44	27	51	34	19	22
XLOC_000085	20	15	35	17	9	13
XLOC_000086	37	40	55	37	36	28
XLOC_000087	127	112	113	119	78	95
XLOC_000088	71	126	90	108	85	82
XLOC_000089	226	177	248	268	233	235
XLOC_000090	10	12	18	10	8	13
XLOC_000091	265	247	276	272	191	218
XLOC_000092	6	6	1	9	7	10
XLOC_000093	22	9	33	14	8	12
XLOC_000094	362	361	466	334	296	269
XLOC_000095	76	56	69	60	56	47
XLOC_000096	182	145	252	267	224	199
XLOC_000097	113	77	84	98	70	75
XLOC_000098	3	3	6	5	6	2
XLOC_000099	50	48	73	57	51	51
XLOC_000100	4	6	8	3	7	6
XLOC_000101	117	77	94	93	87	95
XLOC_000102	199	186	236	263	217	194
XLOC_000103	363	264	310	322	283	248
XLOC_000104	6	11	14	10	10	18
XLOC_000105	14	9	15	10	20	12
XLOC_000106	6	4	10	7	4	2
XLOC_000107	4	4	4	6	1	4
XLOC_000108	385	251	319	267	272	278
XLOC_000109	1	2	1	0	0	0
XLOC_000110	24	9	28	15	20	8
XLOC_000111	49	23	37	53	23	30
XLOC_000112	0	0	0	0	0	0
XLOC_000113	2	0	3	1	1	1
XLOC_000114	15	12	19	18	16	13
XLOC_000115	0	0	3	0	0	0
XLOC_000116	18	10	21	10	19	37
XLOC_000117	3	13	27	14	19	6
XLOC_000118	8	6	9	4	3	7
XLOC_000119	8	13	16	24	16	15
XLOC_000120	11	7	8	9	7	10
XLOC_000121	912	815	977	813	618	624
XLOC_000122	361	344	398	350	240	260
XLOC_000123	31	22	27	15	16	14
XLOC_000124	108	68	112	90	75	63
XLOC_000125	19	29	30	19	19	21
XLOC_000126	21	12	25	23	26	10
XLOC_000127	32	17	30	19	10	16
XLOC_000128	14	14	11	17	11	9
XLOC_000129	59	40	50	64	49	54
XLOC_000130	914	846	1054	801	667	613
XLOC_000131	14	11	26	17	11	3
XLOC_000132	48	44	54	43	39	39
XLOC_000133	54	44	60	50	43	26
XLOC_000134	55	17	36	48	53	52
XLOC_000135	107	77	100	147	103	92
XLOC_000136	28	15	28	18	20	18
XLOC_000137	7	9	17	8	2	7
XLOC_000138	80	39	53	55	38	61
XLOC_000139	2061	1637	2223	2027	1762	1549
XLOC_000140	191	172	175	210	211	197
XLOC_000141	4	5	5	3	6	3
XLOC_000142	21	21	30	19	18	18
XLOC_000143	240	192	182	212	165	148
XLOC_000144	165	133	192	202	145	144
XLOC_000145	5	9	4	8	8	9
XLOC_000146	0	0	0	0	0	0
XLOC_000147	45	41	53	54	50	61
XLOC_000148	7	5	5	4	4	6
XLOC_000149	2	0	3	0	2	0
XLOC_000150	1	0	3	3	2	2
XLOC_000151	0	0	0	0	0	0
XLOC_000152	11	15	19	15	16	22
XLOC_000153	2	4	1	4	5	6
XLOC_000154	371	374	550	431	363	350
XLOC_000155	20	13	19	17	8	17
XLOC_000156	13	4	8	14	7	11
XLOC_000157	15	11	12	11	20	6
XLOC_000158	20	17	12	21	16	14
XLOC_000159	55	38	36	42	36	42
XLOC_000160	2	3	2	2	1	2
XLOC_000161	42	55	42	41	47	51
XLOC_000162	89	106	98	139	106	120
XLOC_000163	1097	1014	1238	1093	878	807
XLOC_000164	3131	2524	3123	4361	3127	3245
XLOC_000165	76	53	76	62	61	54
XLOC_000166	80	51	87	97	74	80
XLOC_000167	7	5	12	1	4	1
XLOC_000168	154	170	191	201	155	130
XLOC_000169	1	3	2	0	2	0
XLOC_000170	0	4	0	3	0	0
XLOC_000171	70	80	66	95	51	76
XLOC_000172	21	18	27	16	19	23
XLOC_000173	0	3	6	2	0	0
XLOC_000174	279	284	302	313	266	244
XLOC_000175	58	47	61	115	76	69
XLOC_000176	28	11	26	39	38	47
XLOC_000177	34	8	25	30	31	23
XLOC_000178	83	55	86	53	47	64
XLOC_000179	30	21	31	2	2	0
XLOC_000180	38	36	33	36	28	33
XLOC_000181	328	260	328	438	280	371
XLOC_000182	55	38	41	63	46	40
XLOC_000183	21	22	21	18	9	11
XLOC_000184	107	74	91	130	77	109
XLOC_000185	2	0	2	0	0	0
XLOC_000186	1	2	2	1	2	4
XLOC_000187	65	52	66	100	97	87
XLOC_000188	82	84	67	82	44	71
XLOC_000189	275	205	278	233	223	193
XLOC_000190	98	88	94	112	88	75
XLOC_000191	209	203	244	283	178	225
XLOC_000192	41	23	41	45	46	29
XLOC_000193	8	2	2	5	3	4
XLOC_000194	394	345	462	396	296	278
XLOC_000195	1	3	2	4	7	1
XLOC_000196	4	1	9	3	2	1
XLOC_000197	135	117	144	125	103	101
XLOC_000198	7	4	11	9	11	7
XLOC_000199	8	5	6	4	1	3
XLOC_000200	58	41	70	32	40	41
XLOC_000201	167	68	200	409	328	305
XLOC_000202	79	78	81	29	17	31
XLOC_000203	79	83	87	47	24	36
XLOC_000204	473	363	565	508	361	381
XLOC_000205	25	14	25	8	12	13
XLOC_000206	0	0	0	0	0	0
XLOC_000207	9	9	12	13	2	3
XLOC_000208	4	2	1	5	0	1
XLOC_000209	119	120	165	99	87	83
XLOC_000210	93	93	110	37	42	36
XLOC_000211	39	19	27	17	8	16
XLOC_000212	328	266	332	351	257	245
XLOC_000213	117	123	167	112	89	93
XLOC_000214	0	3	7	5	7	3
XLOC_000215	96	67	96	112	82	86
XLOC_000216	116	49	116	95	59	87
XLOC_000217	476	425	571	530	364	356
XLOC_000218	26	10	31	32	19	26
XLOC_000219	43	42	39	47	29	30
XLOC_000220	12	7	31	39	7	17
XLOC_000221	3	3	4	0	2	4
XLOC_000222	124	89	128	138	98	107
XLOC_000223	366	353	384	372	281	316
XLOC_000224	63	47	70	55	50	39
XLOC_000225	11	16	36	20	19	16
XLOC_000226	56	59	78	69	44	49
XLOC_000227	23	10	20	33	14	25
XLOC_000228	6	1	14	3	7	5
XLOC_000229	121	103	131	87	106	80
XLOC_000230	12	17	37	8	11	8
XLOC_000231	192	157	211	235	196	205
